Country,City,Prefix,Included channels,Setup price,Monthly price
Israel,Jerusalem,972-2,0,2.50,2.50
Israel,Jerusalem,972-2,2,5.00,5.00
Norway,Oslo,47-21,0,1.50,1.50
Norway,Oslo,47-21,2,5.00,5.00
Israel,Herzlya,972-9,0,2.50,2.50
Israel,Herzlya,972-9,2,5.00,5.00
Australia,Melbourne,61-39,0,3.50,3.50
Australia,Melbourne,61-39,2,5.00,5.00
Australia,Adelaide,61-87,0,3.50,3.50
Australia,Adelaide,61-87,2,5.00,5.00
Australia,Perth,61-86,0,3.50,3.50
Australia,Perth,61-86,2,5.00,5.00
Australia,Canberra,61-26,0,3.50,3.50
Australia,Canberra,61-26,2,5.00,5.00
Australia,Brisbane,61-73,0,3.50,3.50
Australia,Brisbane,61-73,2,5.00,5.00
United States,New York,1-914,0,1.20,1.20
United States,New York,1-914,2,5.00,5.00
Peru,Lima,51-1,0,8.00,8.00
Peru,Lima,51-1,2,12.00,12.00
Brazil,Florianopolis,55-48,0,3.50,3.50
Brazil,Florianopolis,55-48,2,6.00,6.00
Brazil,Fortaleza,55-85,0,3.50,3.50
Brazil,Fortaleza,55-85,2,6.00,6.00
Mexico,Morelia,52-443,0,5.00,5.00
Mexico,Morelia,52-443,2,8.00,8.00
Mexico,Queretaro,52-442,0,5.00,5.00
Mexico,Queretaro,52-442,2,8.00,8.00
Mexico,Guadalajara,52-33,0,5.00,5.00
Mexico,Guadalajara,52-33,2,8.00,8.00
Mexico,Cdad Juarez,52-656,0,5.00,5.00
Mexico,Cdad Juarez,52-656,2,8.00,8.00
Mexico,Tijuana,52-664,0,5.00,5.00
Mexico,Tijuana,52-664,2,8.00,8.00
Mexico,Aguascalientes,52-449,0,5.00,5.00
Mexico,Aguascalientes,52-449,2,8.00,8.00
Mexico,Monterrey,52-81,0,5.00,5.00
Mexico,Monterrey,52-81,2,8.00,8.00
Brazil,Belo Horizonte,55-31,0,3.50,3.50
Brazil,Belo Horizonte,55-31,2,6.00,6.00
United States,San Francisco,1-650,0,1.20,1.20
United States,San Francisco,1-650,2,5.00,5.00
United States,Miami,1-786,0,1.20,1.20
United States,Miami,1-786,2,5.00,5.00
United States,New York,1-516,0,1.20,1.20
United States,New York,1-516,2,5.00,5.00
United States,New York,1-718,0,99.00,20.00
United States,New York,1-718,2,99.00,20.00
Netherlands,Rotterdam,31-10,0,1.50,1.50
Netherlands,Rotterdam,31-10,2,5.00,5.00
Netherlands,Amsterdam,31-20,0,1.50,1.50
Netherlands,Amsterdam,31-20,2,5.00,5.00
Netherlands,Utrecht,31-30,0,1.50,1.50
Netherlands,Utrecht,31-30,2,5.00,5.00
Netherlands,Hague,31-70,0,1.50,1.50
Netherlands,Hague,31-70,2,5.00,5.00
Switzerland,Basel,41-61,0,2.50,2.50
Switzerland,Basel,41-61,2,5.00,5.00
Switzerland,Bern,41-31,0,2.50,2.50
Switzerland,Bern,41-31,2,5.00,5.00
Switzerland,Geneva,41-22,0,2.50,2.50
Switzerland,Geneva,41-22,2,5.00,5.00
Switzerland,Lausanne,41-21,0,2.50,2.50
Switzerland,Lausanne,41-21,2,5.00,5.00
Switzerland,Lucerne,41-41,0,2.50,2.50
Switzerland,Lucerne,41-41,2,5.00,5.00
Switzerland,St Gall,41-71,0,2.50,2.50
Switzerland,St Gall,41-71,2,5.00,5.00
Switzerland,Sion,41-27,0,2.50,2.50
Switzerland,Sion,41-27,2,5.00,5.00
Switzerland,Zurich,41-44,0,2.50,2.50
Switzerland,Zurich,41-44,2,5.00,5.00
Belgium,Brussels,32-2,0,2.50,2.50
Belgium,Brussels,32-2,2,5.00,5.00
Belgium,Antwerp,32-3,0,2.50,2.50
Belgium,Antwerp,32-3,2,5.00,5.00
Belgium,Ghent,32-9,0,2.50,2.50
Belgium,Ghent,32-9,2,5.00,5.00
South Africa,Johannesburg,27-11,0,3.50,3.50
South Africa,Johannesburg,27-11,2,5.00,5.00
Switzerland,Baden,41-56,0,2.50,2.50
Switzerland,Baden,41-56,2,5.00,5.00
Ireland,Dublin,353-1,0,1.50,1.50
Ireland,Dublin,353-1,2,5.00,5.00
New Zealand,Auckland,64-9,0,3.50,3.50
New Zealand,Auckland,64-9,2,5.00,5.00
Italy,Rome,39-06,0,2.50,2.50
Italy,Rome,39-06,2,5.00,5.00
Italy,Milan,39-02,0,2.50,2.50
Italy,Milan,39-02,2,5.00,5.00
Mexico,Celaya,52-461,0,5.00,5.00
Mexico,Celaya,52-461,2,8.00,8.00
Mexico,Irapuato,52-462,0,5.00,5.00
Mexico,Irapuato,52-462,2,8.00,8.00
Mexico,Leon,52-477,0,5.00,5.00
Mexico,Leon,52-477,2,8.00,8.00
Mexico,Nuevo Laredo,52-867,0,5.00,5.00
Mexico,Nuevo Laredo,52-867,2,8.00,8.00
Mexico,Puebla,52-222,0,5.00,5.00
Mexico,Puebla,52-222,2,8.00,8.00
Mexico,Saltillo,52-844,0,5.00,5.00
Mexico,Saltillo,52-844,2,8.00,8.00
Mexico,San Luis Potosi,52-444,0,5.00,5.00
Mexico,San Luis Potosi,52-444,2,8.00,8.00
Mexico,Toluca,52-722,0,5.00,5.00
Mexico,Toluca,52-722,2,8.00,8.00
Poland,Warsaw,48-22,0,2.50,2.50
Poland,Warsaw,48-22,2,5.00,5.00
Poland,Krakow,48-12,0,2.50,2.50
Poland,Krakow,48-12,2,5.00,5.00
Finland,Helsinki,358-9,0,3.50,3.50
Finland,Helsinki,358-9,2,5.00,5.00
Guatemala,Guatemala City,502-2,2,15.00,15.00
Bulgaria,Sofia,359-2,0,8.00,8.00
Bulgaria,Sofia,359-2,2,10.00,10.00
Sweden,Goteborg,46-31,0,2.50,2.50
Sweden,Goteborg,46-31,2,5.00,5.00
Sweden,Malmo,46-40,0,2.50,2.50
Sweden,Malmo,46-40,2,5.00,5.00
Sweden,Stockholm,46-8,0,2.50,2.50
Sweden,Stockholm,46-8,2,5.00,5.00
Cyprus,Larnaca,357-24,0,8.00,8.00
Cyprus,Larnaca,357-24,2,9.00,9.00
Cyprus,Limassol,357-25,0,8.00,8.00
Cyprus,Limassol,357-25,2,9.00,9.00
United States,Detroit,1-313,0,1.20,1.20
United States,Detroit,1-313,2,5.00,5.00
Germany,Hannover,49-511,0,1.50,1.50
Germany,Hannover,49-511,2,5.00,5.00
United Kingdom,Reading,44-118,0,1.20,1.20
United Kingdom,Reading,44-118,2,5.00,5.00
United States,Phoenix,1-480,0,1.20,1.20
United States,Phoenix,1-480,2,5.00,5.00
United States,Phoenix,1-602,0,1.20,1.20
United States,Phoenix,1-602,2,5.00,5.00
United States,Chicago,1-773,0,1.20,1.20
United States,Chicago,1-773,2,5.00,5.00
United States,Chicago,1-312,0,1.20,1.20
United States,Chicago,1-312,2,5.00,5.00
United States,Baltimore,1-443,0,1.20,1.20
United States,Baltimore,1-443,2,5.00,5.00
United States,New York,1-347,0,1.20,1.20
United States,New York,1-347,2,5.00,5.00
El Salvador,San Salvador,503-211,2,15.00,15.00
Argentina,Bahia Blanca,54-291,0,3.50,3.50
Argentina,Bahia Blanca,54-291,2,6.00,6.00
Brazil,Curitiba,55-41,0,3.50,3.50
Brazil,Curitiba,55-41,2,6.00,6.00
Brazil,Brasilia,55-61,0,3.50,3.50
Brazil,Brasilia,55-61,2,6.00,6.00
Argentina,San Luis,54-2664,0,3.50,3.50
Argentina,San Luis,54-2664,2,6.00,6.00
United States,Dallas,1-972,0,1.20,1.20
United States,Dallas,1-972,2,5.00,5.00
United States,Dallas,1-469,0,1.20,1.20
United States,Dallas,1-469,2,5.00,5.00
United States,Newark,1-973,0,1.20,1.20
United States,Newark,1-973,2,5.00,5.00
United States,Jersey City,1-201,0,1.20,1.20
United States,Jersey City,1-201,2,5.00,5.00
United States,Elizabeth,1-908,0,1.20,1.20
United States,Elizabeth,1-908,2,5.00,5.00
United States,Providence,1-401,0,1.20,1.20
United States,Providence,1-401,2,5.00,5.00
United States,Boston,1-617,0,1.20,1.20
United States,Boston,1-617,2,5.00,5.00
United States,Worcester,1-508,0,1.20,1.20
United States,Worcester,1-508,2,5.00,5.00
United States,Springfield,1-413,0,1.20,1.20
United States,Springfield,1-413,2,5.00,5.00
United States,Lowell,1-978,0,1.20,1.20
United States,Lowell,1-978,2,5.00,5.00
Brazil,Vitoria,55-27,0,3.50,3.50
Brazil,Vitoria,55-27,2,6.00,6.00
Slovenia,Ljubljana,386-1,0,2.50,2.50
Slovenia,Ljubljana,386-1,2,5.00,5.00
United States,Houston,1-832,0,1.20,1.20
United States,Houston,1-832,2,5.00,5.00
United States,Santa Cruz,1-831,0,1.20,1.20
United States,Santa Cruz,1-831,2,5.00,5.00
United States,Indianapolis,1-317,0,1.20,1.20
United States,Indianapolis,1-317,2,5.00,5.00
Argentina,Neuquen,54-299,0,3.50,3.50
Argentina,Neuquen,54-299,2,6.00,6.00
New Zealand,Christchurch,64-3,0,3.50,3.50
New Zealand,Christchurch,64-3,2,5.00,5.00
United States,Ann Arbor,1-734,0,1.20,1.20
United States,Ann Arbor,1-734,2,5.00,5.00
United States,Flint,1-810,0,1.20,1.20
United States,Flint,1-810,2,5.00,5.00
United States,Troy,1-248,0,1.20,1.20
United States,Troy,1-248,2,5.00,5.00
United States,Warren,1-586,0,1.20,1.20
United States,Warren,1-586,2,5.00,5.00
United States,Houston,1-281,0,1.20,1.20
United States,Houston,1-281,2,5.00,5.00
Lithuania,Klaipeda,370-46,0,2.50,2.50
Lithuania,Klaipeda,370-46,2,5.00,5.00
Lithuania,Kaunas,370-37,0,2.50,2.50
Lithuania,Kaunas,370-37,2,5.00,5.00
Lithuania,Siauliai,370-41,0,2.50,2.50
Lithuania,Siauliai,370-41,2,5.00,5.00
United States,Princeton,1-609,0,1.20,1.20
United States,Princeton,1-609,2,5.00,5.00
United States,Camden,1-856,0,1.20,1.20
United States,Camden,1-856,2,5.00,5.00
United States,Glassboro,1-856,0,1.20,1.20
United States,Glassboro,1-856,2,5.00,5.00
United States,Moorestown,1-856,0,1.20,1.20
United States,Moorestown,1-856,2,5.00,5.00
New Zealand,Wellington,64-4,0,3.50,3.50
New Zealand,Wellington,64-4,2,5.00,5.00
United States,Houston,1-713,0,1.20,1.20
United States,Houston,1-713,2,5.00,5.00
France,Marseille,33-4,0,1.50,1.50
France,Marseille,33-4,2,5.00,5.00
France,Toulouse,33-5,0,1.50,1.50
France,Toulouse,33-5,2,5.00,5.00
France,Lyon,33-4,0,1.50,1.50
France,Lyon,33-4,2,5.00,5.00
Brazil,Goiania,55-62,0,3.50,3.50
Brazil,Goiania,55-62,2,6.00,6.00
Malaysia,Kuala Lumpur,60-3,0,15.00,15.00
Malaysia,Kuala Lumpur,60-3,2,20.00,20.00
Poland,Wroclaw,48-71,0,2.50,2.50
Poland,Wroclaw,48-71,2,5.00,5.00
Greece,Athens,30-21,0,2.50,2.50
Greece,Athens,30-21,2,5.00,5.00
Greece,Thessaloniki,30-231,0,2.50,2.50
Greece,Thessaloniki,30-231,2,5.00,5.00
France,Nantes,33-2,0,1.50,1.50
France,Nantes,33-2,2,5.00,5.00
France,Strasbourg,33-3,0,1.50,1.50
France,Strasbourg,33-3,2,5.00,5.00
France,Nice,33-4,0,1.50,1.50
France,Nice,33-4,2,5.00,5.00
France,Bordeaux,33-5,0,1.50,1.50
France,Bordeaux,33-5,2,5.00,5.00
United Kingdom,Blackburn,44-1254,0,1.20,1.20
United Kingdom,Blackburn,44-1254,2,5.00,5.00
United Kingdom,Guildford,44-1483,0,1.20,1.20
United Kingdom,Guildford,44-1483,2,5.00,5.00
Brazil,Campinas,55-19,0,3.50,3.50
Brazil,Campinas,55-19,2,6.00,6.00
Brazil,Porto Alegre,55-51,0,3.50,3.50
Brazil,Porto Alegre,55-51,2,6.00,6.00
Brazil,Joinville,55-47,0,3.50,3.50
Brazil,Joinville,55-47,2,6.00,6.00
Brazil,Londrina,55-43,0,3.50,3.50
Brazil,Londrina,55-43,2,6.00,6.00
Brazil,Sao Jose Dos Campos,55-12,0,3.50,3.50
Brazil,Sao Jose Dos Campos,55-12,2,6.00,6.00
Brazil,Santos,55-13,0,3.50,3.50
Brazil,Santos,55-13,2,6.00,6.00
Brazil,Caxias Do Sul,55-54,0,3.50,3.50
Brazil,Caxias Do Sul,55-54,2,6.00,6.00
Brazil,Sorocaba,55-15,0,3.50,3.50
Brazil,Sorocaba,55-15,2,6.00,6.00
Brazil,Salvador,55-71,0,3.50,3.50
Brazil,Salvador,55-71,2,6.00,6.00
United States,Pompano Beach,1-954,0,1.20,1.20
United States,Pompano Beach,1-954,2,5.00,5.00
United States,Deerfield Beach,1-954,0,1.20,1.20
United States,Deerfield Beach,1-954,2,5.00,5.00
United States,Boca Raton,1-561,0,1.20,1.20
United States,Boca Raton,1-561,2,5.00,5.00
United States,Southampton,1-631,0,1.20,1.20
United States,Southampton,1-631,2,5.00,5.00
United States,Middletown,1-732,0,1.20,1.20
United States,Middletown,1-732,2,5.00,5.00
Argentina,Tucuman,54-381,0,3.50,3.50
Argentina,Tucuman,54-381,2,6.00,6.00
Canada,Burlington,1-289,0,1.20,1.20
Canada,Burlington,1-289,2,5.00,5.00
United States,Hackensack,1-201,0,1.20,1.20
United States,Hackensack,1-201,2,5.00,5.00
United States,New Brunswick,1-732,0,1.20,1.20
United States,New Brunswick,1-732,2,5.00,5.00
United States,Perth Amboy,1-732,0,1.20,1.20
United States,Perth Amboy,1-732,2,5.00,5.00
United States,Plainfield,1-908,0,1.20,1.20
United States,Plainfield,1-908,2,5.00,5.00
United States,Orange,1-973,0,1.20,1.20
United States,Orange,1-973,2,5.00,5.00
Italy,Torino,39-011,0,2.50,2.50
Italy,Torino,39-011,2,5.00,5.00
Italy,Palermo,39-091,0,2.50,2.50
Italy,Palermo,39-091,2,5.00,5.00
Thailand,Bangkok,66-2,0,12.00,12.00
Thailand,Bangkok,66-2,2,15.00,15.00
United States,Rahway,1-732,0,1.20,1.20
United States,Rahway,1-732,2,5.00,5.00
United States,Pottstown,1-610,0,1.20,1.20
United States,Pottstown,1-610,2,5.00,5.00
United Kingdom,Motherwell,44-1698,0,1.20,1.20
United Kingdom,Motherwell,44-1698,2,5.00,5.00
Belgium,Hasselt,32-11,0,2.50,2.50
Belgium,Hasselt,32-11,2,5.00,5.00
United Kingdom,Richmond,44-1748,0,1.20,1.20
United Kingdom,Richmond,44-1748,2,5.00,5.00
Romania,Piatra Neamt,40-333,0,2.50,2.50
Romania,Piatra Neamt,40-333,2,5.00,5.00
Austria,Vienna,43-1,0,3.50,3.50
Austria,Vienna,43-1,2,5.00,5.00
Netherlands,National,31-85,0,1.50,1.50
Netherlands,National,31-85,2,5.00,5.00
United States,Allentown,1-484,0,1.20,1.20
United States,Allentown,1-484,2,5.00,5.00
Italy,Genoa,39-010,0,2.50,2.50
Italy,Genoa,39-010,2,5.00,5.00
Italy,Bologna,39-051,0,2.50,2.50
Italy,Bologna,39-051,2,5.00,5.00
Italy,Florence,39-055,0,2.50,2.50
Italy,Florence,39-055,2,5.00,5.00
Italy,Bari,39-080,0,2.50,2.50
Italy,Bari,39-080,2,5.00,5.00
Italy,Catania,39-095,0,2.50,2.50
Italy,Catania,39-095,2,5.00,5.00
Italy,Naples,39-081,0,2.50,2.50
Italy,Naples,39-081,2,5.00,5.00
United States,Dover,1-302,0,1.20,1.20
United States,Dover,1-302,2,5.00,5.00
Ukraine,Kyiv,380-44,2,20.00,20.00
Argentina,Glew,54-2224,0,3.50,3.50
Argentina,Glew,54-2224,2,6.00,6.00
Argentina,Lujan,54-2323,0,3.50,3.50
Argentina,Lujan,54-2323,2,6.00,6.00
Argentina,Parana,54-3434,0,3.50,3.50
Argentina,Parana,54-3434,2,6.00,6.00
Argentina,Pilar,54-2304,0,3.50,3.50
Argentina,Pilar,54-2304,2,6.00,6.00
Argentina,Resistencia,54-3624,0,3.50,3.50
Argentina,Resistencia,54-3624,2,6.00,6.00
Argentina,Salta,54-3874,0,3.50,3.50
Argentina,Salta,54-3874,2,6.00,6.00
Argentina,San Juan,54-264,0,3.50,3.50
Argentina,San Juan,54-264,2,6.00,6.00
Argentina,Tandil,54-2494,0,3.50,3.50
Argentina,Tandil,54-2494,2,6.00,6.00
United States,Denver,1-303,0,1.20,1.20
United States,Denver,1-303,2,5.00,5.00
United States,Cleveland,1-216,0,1.20,1.20
United States,Cleveland,1-216,2,5.00,5.00
United States,Columbus,1-614,0,1.20,1.20
United States,Columbus,1-614,2,5.00,5.00
United States,Memphis,1-901,0,1.20,1.20
United States,Memphis,1-901,2,5.00,5.00
United States,Redwood City,1-650,0,1.20,1.20
United States,Redwood City,1-650,2,5.00,5.00
Australia,Gold Coast,61-7,0,3.50,3.50
Australia,Gold Coast,61-7,2,5.00,5.00
United States,Keys,1-305,0,1.20,1.20
United States,Keys,1-305,2,5.00,5.00
Croatia,Zagreb,385-1,0,3.50,3.50
Croatia,Zagreb,385-1,2,5.00,5.00
Croatia,Osijek,385-31,0,3.50,3.50
Croatia,Osijek,385-31,2,5.00,5.00
Croatia,Split,385-21,0,3.50,3.50
Croatia,Split,385-21,2,5.00,5.00
Croatia,Rijeka,385-51,0,3.50,3.50
Croatia,Rijeka,385-51,2,5.00,5.00
Croatia,Zadar,385-23,0,3.50,3.50
Croatia,Zadar,385-23,2,5.00,5.00
United Kingdom,National,44-845,0,1.20,1.20
United Kingdom,National,44-845,2,5.00,5.00
United Kingdom,Hull,44-1482,0,1.20,1.20
United Kingdom,Hull,44-1482,2,5.00,5.00
Belgium,Leuven,32-16,0,2.50,2.50
Belgium,Leuven,32-16,2,5.00,5.00
Belgium,Liege,32-4,0,2.50,2.50
Belgium,Liege,32-4,2,5.00,5.00
Belgium,Bruges,32-50,0,2.50,2.50
Belgium,Bruges,32-50,2,5.00,5.00
Belgium,Mons,32-65,0,2.50,2.50
Belgium,Mons,32-65,2,5.00,5.00
Belgium,Charleroi,32-71,0,2.50,2.50
Belgium,Charleroi,32-71,2,5.00,5.00
Belgium,Namur,32-81,0,2.50,2.50
Belgium,Namur,32-81,2,5.00,5.00
United States,North Dade,1-305,0,1.20,1.20
United States,North Dade,1-305,2,5.00,5.00
Venezuela,Maracaibo,58-261,0,12.00,12.00
Venezuela,Maracaibo,58-261,2,15.00,15.00
Mexico,Tepic,52-311,0,5.00,5.00
Mexico,Tepic,52-311,2,8.00,8.00
Mexico,Durango,52-618,0,5.00,5.00
Mexico,Durango,52-618,2,8.00,8.00
Mexico,Mazatlan,52-669,0,5.00,5.00
Mexico,Mazatlan,52-669,2,8.00,8.00
Mexico,Cuernavaca,52-777,0,5.00,5.00
Mexico,Cuernavaca,52-777,2,8.00,8.00
Mexico,Torreon,52-871,0,5.00,5.00
Mexico,Torreon,52-871,2,8.00,8.00
Mexico,Reynosa,52-899,0,5.00,5.00
Mexico,Reynosa,52-899,2,8.00,8.00
United States,Nashville,1-615,0,1.20,1.20
United States,Nashville,1-615,2,5.00,5.00
United States,St Louis,1-314,0,1.20,1.20
United States,St Louis,1-314,2,5.00,5.00
United States,Fort Lauderdale,1-954,0,1.20,1.20
United States,Fort Lauderdale,1-954,2,5.00,5.00
Canada,Oakville,1-289,0,1.20,1.20
Canada,Oakville,1-289,2,5.00,5.00
United States,Modesto,1-209,0,1.20,1.20
United States,Modesto,1-209,2,5.00,5.00
United States,Stockton,1-209,0,1.20,1.20
United States,Stockton,1-209,2,5.00,5.00
United States,Compton,1-310,0,1.20,1.20
United States,Compton,1-310,2,5.00,5.00
United States,Fresno,1-559,0,1.20,1.20
United States,Fresno,1-559,2,5.00,5.00
United States,Chula Vista,1-619,0,1.20,1.20
United States,Chula Vista,1-619,2,5.00,5.00
United States,Bakersfield,1-661,0,1.20,1.20
United States,Bakersfield,1-661,2,5.00,5.00
United States,Oceanside,1-760,0,1.20,1.20
United States,Oceanside,1-760,2,5.00,5.00
United States,Glendale,1-818,0,1.20,1.20
United States,Glendale,1-818,2,5.00,5.00
United States,Fontana,1-909,0,1.20,1.20
United States,Fontana,1-909,2,5.00,5.00
United States,San Bernardino,1-909,0,1.20,1.20
United States,San Bernardino,1-909,2,5.00,5.00
United States,Pomona,1-909,0,1.20,1.20
United States,Pomona,1-909,2,5.00,5.00
United States,Sacramento,1-916,0,1.20,1.20
United States,Sacramento,1-916,2,5.00,5.00
United States,Irvine,1-949,0,1.20,1.20
United States,Irvine,1-949,2,5.00,5.00
United States,Riverside,1-951,0,1.20,1.20
United States,Riverside,1-951,2,5.00,5.00
Georgia,Tbilisi,995-32,0,10.00,10.00
Georgia,Tbilisi,995-32,2,12.00,12.00
Germany,Dortmund,49-231,0,1.50,1.50
Germany,Dortmund,49-231,2,5.00,5.00
Germany,Berlin,49-30,0,1.50,1.50
Germany,Berlin,49-30,2,5.00,5.00
Germany,Hamburg,49-40,0,1.50,1.50
Germany,Hamburg,49-40,2,5.00,5.00
Germany,Munich,49-89,0,1.50,1.50
Germany,Munich,49-89,2,5.00,5.00
Germany,Cologne,49-221,0,1.50,1.50
Germany,Cologne,49-221,2,5.00,5.00
Germany,Frankfurt,49-69,0,1.50,1.50
Germany,Frankfurt,49-69,2,5.00,5.00
Germany,Stuttgart,49-711,0,1.50,1.50
Germany,Stuttgart,49-711,2,5.00,5.00
Germany,Dusseldorf,49-211,0,1.50,1.50
Germany,Dusseldorf,49-211,2,5.00,5.00
Germany,Bremen,49-421,0,1.50,1.50
Germany,Bremen,49-421,2,5.00,5.00
Germany,Leipzig,49-341,0,1.50,1.50
Germany,Leipzig,49-341,2,5.00,5.00
Germany,Dresden,49-351,0,1.50,1.50
Germany,Dresden,49-351,2,5.00,5.00
Germany,Nuremberg,49-911,0,1.50,1.50
Germany,Nuremberg,49-911,2,5.00,5.00
Germany,Duisburg,49-203,0,1.50,1.50
Germany,Duisburg,49-203,2,5.00,5.00
Germany,Essen,49-201,0,1.50,1.50
Germany,Essen,49-201,2,5.00,5.00
United States,Boise,1-208,0,1.20,1.20
United States,Boise,1-208,2,5.00,5.00
United States,Aurora,1-720,0,1.20,1.20
United States,Aurora,1-720,2,5.00,5.00
United States,Greeley,1-970,0,1.20,1.20
United States,Greeley,1-970,2,5.00,5.00
United States,Eugene,1-541,0,1.20,1.20
